n_components,explained_var_pct,avg_recall@10,avg_rank_corr,avg_query_time_s,speedup_vs_768d,size_mb,compression_ratio,composite_score,fit_time_s,transform_time_s
16,58.3,0.1,0.0578,0.312,194.33,228.7,0.0208,0.4517,724.5,50.5
32,66.07,0.22,0.1733,0.378,160.31,457.3,0.0417,0.5153,410.3,38.4
64,74.89,0.38,0.26,0.402,150.75,914.7,0.0833,0.5947,332.2,33.3
128,84.44,0.54,0.3978,0.614,98.73,1829.3,0.1667,0.6573,328.0,35.2
256,93.48,0.48,0.2889,1.213,49.98,3658.6,0.3333,0.5547,319.0,43.3
384,97.54,0.48,0.3311,1.809,33.52,5487.9,0.5,0.488,309.6,44.5
512,99.23,0.5,0.3622,3.03,20.01,7317.2,0.6667,0.4333,292.8,54.0
